Code,TIME,Renewable Supply %
NGA,2008,81.53
NGA,2009,84.3
NGA,2010,77.1
NGA,2011,73.88
NGA,2012,77.26
NGA,2013,76.22
NGA,2014,74.43
NGA,2015,77.21
NGA,2016,76.57
NGA,2017,74.71
OMN,2008,0
OMN,2009,0
OMN,2010,0
OMN,2011,0
OMN,2012,0
OMN,2013,0
OMN,2014,0
OMN,2015,0
OMN,2016,0
OMN,2017,0
PAK,2008,37.42
PAK,2009,37.63
PAK,2010,38.17
PAK,2011,38.29
PAK,2012,38.72
PAK,2013,38.82
PAK,2014,37.91
PAK,2015,38.01
PAK,2016,37.4
PAK,2017,35.63
PAN,2008,23.2
PAN,2009,20.54
PAN,2010,18.84
PAN,2011,17.18
PAN,2012,19.5
PAN,2013,20.05
PAN,2014,19.02
PAN,2015,21.04
PAN,2016,21.03
PAN,2017,21.47
PRY,2008,159.74
PRY,2009,155.68
PRY,2010,143.68
PRY,2011,146.32
PRY,2012,146.89
PRY,2013,147.47
PRY,2014,133.98
PRY,2015,128.76
PRY,2016,128.22
PRY,2017,116.84
PER,2008,23.43
PER,2009,26.73
PER,2010,24.95
PER,2011,22.94
PER,2012,20.89
PER,2013,21.68
PER,2014,20.86
PER,2015,20.91
PER,2016,20.79
PER,2017,24.17
PHL,2008,42.37
PHL,2009,43.74
PHL,2010,39.89
PHL,2011,40.11
PHL,2012,39.81
PHL,2013,37.85
PHL,2014,36.98
PHL,2015,35.57
PHL,2016,34.06
PHL,2017,31.65
QAT,2008,0
QAT,2009,0
QAT,2010,0
QAT,2011,0
QAT,2012,0
QAT,2013,0
QAT,2014,0
QAT,2015,0
QAT,2016,0
QAT,2017,0
ROU,2008,13.49
ROU,2009,15.1
ROU,2010,16.73
ROU,2011,14.15
ROU,2012,14.88
ROU,2013,17.4
ROU,2014,19.4
ROU,2015,18.76
ROU,2016,19.48
ROU,2017,18.12
RUS,2008,2.58
RUS,2009,2.83
RUS,2010,2.57
RUS,2011,2.49
RUS,2012,2.45
RUS,2013,2.65
RUS,2014,2.54
RUS,2015,2.53
RUS,2016,2.65
RUS,2017,2.56
SAU,2008,0
SAU,2009,0
SAU,2010,0
SAU,2011,0
SAU,2012,0
SAU,2013,0.01
SAU,2014,0
SAU,2015,0.01
SAU,2016,0.01
SAU,2017,0.01
SEN,2008,46.15
SEN,2009,55.16
SEN,2010,51.59
SEN,2011,51.01
SEN,2012,53.47
SEN,2013,47.33
SEN,2014,44.62
SEN,2015,38.3
SEN,2016,36.6
SEN,2017,37.45
SGP,2008,0.9
SGP,2009,0.88
SGP,2010,1.27
SGP,2011,1.48
SGP,2012,1.25
SGP,2013,1.32
SGP,2014,1.3
SGP,2015,1.22
SGP,2016,1.21
SGP,2017,1.1
SVN,2008,11
SVN,2009,15.12
SVN,2010,15.3
SVN,2011,14.19
SVN,2012,15.19
SVN,2013,17.14
SVN,2014,18.07
SVN,2015,16.04
SVN,2016,16.55
SVN,2017,15.62
ZAF,2008,4.75
ZAF,2009,4.74
ZAF,2010,5.21
ZAF,2011,5.11
ZAF,2012,5.34
ZAF,2013,5.44
ZAF,2014,5.31
ZAF,2015,5.69
ZAF,2016,5.78
ZAF,2017,5.9
LKA,2008,55.73
LKA,2009,55.79
LKA,2010,56.83
LKA,2011,50.51
LKA,2012,52.1
LKA,2013,53.88
LKA,2014,48.72
LKA,2015,46.44
LKA,2016,42.84
LKA,2017,41.56
SDN,2008,66.62
SDN,2009,67.12
SDN,2010,74.06
SDN,2011,69.37
SDN,2012,81.23
SDN,2013,67.01
SDN,2014,65.73
SDN,2015,65.43
SDN,2016,63.63
SDN,2017,65.9
SYR,2008,1.1
SYR,2009,0.78
SYR,2010,1.06
SYR,2011,1.42
SYR,2012,1.71
SYR,2013,2.18
SYR,2014,1.84
SYR,2015,0.41
SYR,2016,0.93
SYR,2017,0.79
TWN,2008,1.19
TWN,2009,1.18
TWN,2010,1.2
TWN,2011,1.5
TWN,2012,1.65
TWN,2013,1.61
TWN,2014,1.5
TWN,2015,1.7
TWN,2016,1.55
TWN,2017,1.55
TJK,2008,55.37
TJK,2009,64.12
TJK,2010,64.81
TJK,2011,63.84
TJK,2012,61.5
TJK,2013,61.94
TJK,2014,54.14
TJK,2015,53.06
TJK,2016,46.25
TJK,2017,45.4
TZA,2008,88.38
TZA,2009,88.81
TZA,2010,87.1
TZA,2011,85.93
TZA,2012,84.02
TZA,2013,82.88
TZA,2014,83.71
TZA,2015,83.07
TZA,2016,83.5
TZA,2017,83.42
THA,2008,19.3
THA,2009,19.8
THA,2010,19.6
THA,2011,19.15
THA,2012,19.27
THA,2013,18.63
THA,2014,19.57
THA,2015,19.15
THA,2016,20.98
THA,2017,19.99
TGO,2008,83.47
TGO,2009,73.9
TGO,2010,76.02
TGO,2011,77.75
TGO,2012,80.14
TGO,2013,80.21
TGO,2014,79.81
TGO,2015,79.1
TGO,2016,79.14
TGO,2017,78.82
TTO,2008,0.14
TTO,2009,0.14
TTO,2010,0.07
TTO,2011,0.07
TTO,2012,0.07
TTO,2013,0.07
TTO,2014,0.07
TTO,2015,0.07
TTO,2016,0.08
TTO,2017,0.08
TUN,2008,13.31
TUN,2009,14
TUN,2010,10.71
TUN,2011,11.29
TUN,2012,11.06
TUN,2013,11.05
TUN,2014,11.07
TUN,2015,10.79
TUN,2016,10.76
TUN,2017,10.49
TKM,2008,0.05
TKM,2009,0.05
TKM,2010,0.05
TKM,2011,0.04
TKM,2012,0.04
TKM,2013,0.04
TKM,2014,0.04
TKM,2015,0.04
TKM,2016,0.04
TKM,2017,0.04
UKR,2008,1.99
UKR,2009,2.25
UKR,2010,2.06
UKR,2011,2.08
UKR,2012,2.16
UKR,2013,2.73
UKR,2014,2.65
UKR,2015,2.91
UKR,2016,3.95
UKR,2017,4.36
ARE,2008,0.07
ARE,2009,0.07
ARE,2010,0.08
ARE,2011,0.08
ARE,2012,0.08
ARE,2013,0.1
ARE,2014,0.16
ARE,2015,0.15
ARE,2016,0.16
ARE,2017,0.23
URY,2008,33.36
URY,2009,36.84
